product_id,product_name,brand_name,category,list_price,discount_price,sale_in_30days,rating,no_of_reviews,first_available,rankings,stock_alert
100296,"SheaMoisture, Power Greens Conditioner, Moringa & Avocado, 13 fl oz (384 ml)",SheaMoisture,Conditioner,93.03,93.03,400,4.6,5033,06/2020,"{'ranking_conditioner': 61, 'ranking_hair_care': 320, 'ranking_bath_&_personal_care': 1214}",
125032,"L'Oréal, EverPure, Bond Repair Conditioner, 6.8 fl oz (200 ml)",L'Oréal,Conditioner,100.11,100.11,400,4.5,175,07/2023,"{'ranking_conditioner': 61, 'ranking_hair_care': 320, 'ranking_bath_&_personal_care': 1214}",
109204,"Cantu, Shea Butter Sulfate-Free Hydrating Cream Conditioner, For Natural Curls, Coils & Waves, 13.5 fl oz (400 ml)",Cantu,Conditioner,60.35,60.35,400,4.6,1846,08/2021,"{'ranking_conditioner': 66, 'ranking_hair_care': 334, 'ranking_bath_&_personal_care': 1279}",
108723,"Cantu, Shea Butter, Leave-In Conditioning Cream, For Natural Curls, Coils & Waves, 12 oz (340 g)",Cantu,Conditioner,72.69,72.69,400,4.6,1687,10/2021,"{'ranking_leave-in_conditioner': 18, 'ranking_conditioner': 69, 'ranking_hair_care': 339, 'ranking_bath_&_personal_care': 1301}",
81715,"Giovanni, 2chic, Frizz Be Gone Conditioner, To Smooth Out Of Control Hair, Shea Butter + Sweet Almond Oil, 8.5 fl oz (250 ml)",Giovanni,Conditioner,71.8,71.8,400,4.5,2199,05/2018,"{'ranking_conditioner': 74, 'ranking_hair_care': 357, 'ranking_bath_&_personal_care': 1370}",
120664,"SheaMoisture, Manuka Honey & Yogurt, Hydrate + Repair Conditioner, 13 fl oz (384 ml)",SheaMoisture,Conditioner,93.03,93.03,400,4.6,323,05/2023,"{'ranking_conditioner': 76, 'ranking_hair_care': 367, 'ranking_bath_&_personal_care': 1411}",
8683,"Giovanni, Root 66, Max Volume Conditioner, For Limp, Lifeless Hair, 8.5 fl oz (250 ml)",Giovanni,Conditioner,71.8,71.8,400,4.5,2689,02/2009,"{'ranking_conditioner': 79, 'ranking_hair_care': 375, 'ranking_bath_&_personal_care': 1439}",
102826,"SheaMoisture, Silicon Free Miracle Styler Leave-In Treatment, Sugarcane Extract & Meadowfoam Seed, 8 fl oz (237 ml)",SheaMoisture,Conditioner,121.18,121.18,400,4.5,1106,11/2020,"{'ranking_leave-in_conditioner': 19, 'ranking_conditioner': 79, 'ranking_hair_care': 375, 'ranking_bath_&_personal_care': 1439}",
122596,"Dove, Kids Care, Nourishing Conditioner, For Coils, Curls and Waves, 17.5 fl oz (518 ml)",Dove,Conditioner,58.78,58.78,300,4.7,77,06/2023,"{'ranking_conditioner': 79, 'ranking_hair_care': 375, 'ranking_bath_&_personal_care': 1439}",
114617,"SheaMoisture, Intensive Hydration Leave-In Milk with Fig Extract & Baobab Oil, 8 fl oz (237 ml)",SheaMoisture,Conditioner,92.86,92.86,300,4.4,1303,06/2022,"{'ranking_leave-in_conditioner': 21, 'ranking_conditioner': 87, 'ranking_hair_care': 406, 'ranking_bath_&_personal_care': 1546}",
120651,"SheaMoisture, Curl & Shine Conditioner, Thick, Curly Hair, Coconut & Hibiscus, 3.2 fl oz (95 ml)",SheaMoisture,Conditioner,28.49,28.49,200,4.6,6470,05/2023,"{'ranking_conditioner': 91, 'ranking_hair_care': 425, 'ranking_bath_&_personal_care': 1621}",
97589,"SheaMoisture, Raw Shea Butter, Deep Moisturizing Conditioner, Curly to Coily Hair, 13 fl oz (384 ml)",SheaMoisture,Conditioner,93.03,93.03,300,4.6,636,02/2020,"{'ranking_conditioner': 94, 'ranking_hair_care': 445, 'ranking_bath_&_personal_care': 1710}",
142653,"Kitsch, Volumizing Solid Conditioner Bar, Rosemary & Biotin, Lavender & Vanilla, 2.7 oz (77 g)",Kitsch,Conditioner,110.51,110.51,300,4.8,41,06/2024,"{'ranking_conditioner': 99, 'ranking_hair_care': 458, 'ranking_bath_&_personal_care': 1750}",
43355,"Giovanni, 2chic, Ultra Sleek Leave-In Conditioning & Styling Elixir, For All Hair Types, Brazilian Keratin + Moroccan Argan Oil, 4 fl oz (118 ml)",Giovanni,Conditioner,71.78,71.78,300,4.4,3473,04/2012,"{'ranking_leave-in_conditioner': 24, 'ranking_hair_styling': 46, 'ranking_conditioner': 103, 'ranking_hair_care': 468, 'ranking_bath_&_personal_care': 1784}",
81712,"Giovanni, 2chic, Frizz Be Gone Leave-In Conditioning & Styling Elixir, Shea Butter + Sweet Almond Oil, 4 fl oz (118 ml)",Giovanni,Conditioner,71.78,71.78,300,4.5,1555,05/2018,"{'ranking_leave-in_conditioner': 24, 'ranking_conditioner': 103, 'ranking_hair_care': 468, 'ranking_bath_&_personal_care': 1784}",
108724,"Cantu, Shea Butter, Moisturizing Rinse Out Conditioner, 13.5 fl oz (400 ml)",Cantu,Conditioner,48.73,48.73,300,4.6,1649,08/2021,"{'ranking_conditioner': 106, 'ranking_hair_care': 475, 'ranking_bath_&_personal_care': 1812}",
99934,"Giovanni, 50:50 Balanced, Hydrating-Calming Conditioner, For Normal to Dry Hair, 2 fl oz (60 ml)",Giovanni,Conditioner,19.48,19.48,300,4.6,7224,04/2020,"{'ranking_conditioner': 108, 'ranking_hair_care': 493, 'ranking_bath_&_personal_care': 1912}",
92472,"Dove, Dermacare Scalp, Anti-Dandruff Conditioner, Soothing Moisture, 12 fl oz (355 ml)",Dove,Conditioner,43.2,43.2,200,4.6,346,02/2020,"{'ranking_conditioner': 116, 'ranking_hair_care': 530}",
43354,"Giovanni, 2chic, Ultra-Sleek Conditioner, For All Hair Types, Brazilian Keratin + Moroccan Argan Oil, 8.5 fl oz (250 ml)",Giovanni,Conditioner,71.8,71.8,200,4.5,5683,04/2012,"{'ranking_conditioner': 118, 'ranking_hair_care': 554}",
75762,"Giovanni, 2chic, Ultra-Moist Conditioner, For Dry, Damaged Hair, Avocado + Olive Oil, 8.5 fl oz (250 ml)",Giovanni,Conditioner,71.8,71.8,300,4.5,2597,07/2017,"{'ranking_conditioner': 119, 'ranking_hair_care': 559}",
75763,"Giovanni, 2chic, Ultra Moist Conditioner, For Dry, Damaged Hair, Avocado + Olive Oil, 24 fl oz (710 ml)",Giovanni,Conditioner,143.79,143.79,200,4.6,1677,07/2017,"{'ranking_conditioner': 119, 'ranking_hair_care': 559}",
108759,"Mielle, Deep Conditioner, For All Hair Types, Babassu & Mint, 8 oz (227 g)",Mielle,Conditioner,134.39,134.39,200,4.5,811,09/2021,"{'ranking_conditioner': 119, 'ranking_hair_care': 559}",
98848,"Luseta Beauty, Keratin Conditioner, 16.9 fl oz (500 ml)",Luseta Beauty,Conditioner,110.48,110.48,100,4.7,636,01/2020,"{'ranking_conditioner': 119, 'ranking_hair_care': 559}",
109281,"Giovanni, Art Of Giovanni, Men, 2-In-1 Daily Shampoo & Conditioner with Ginseng and Eucalyptus, 16.9 fl oz (499 ml)",Giovanni,Conditioner,71.85,71.85,200,4.7,579,09/2021,"{""ranking_men's_shampoo"": 5, ""ranking_men's_grooming"": 38, 'ranking_conditioner': 119, 'ranking_shampoo': 180, 'ranking_hair_care': 559}",
122073,"Kitsch, Deep-Moisturizing Solid Conditioner Bar, Coconut Oil, White Tea & Coconut, 1 Bar, 2.7 oz (77 g)",Kitsch,Conditioner,110.51,110.51,200,4.7,163,06/2023,"{'ranking_conditioner': 129, 'ranking_hair_care': 596}",
126325,"Mielle, Mongongo Oil, Hydrating Conditioner, 8 fl oz (240 ml)",Mielle,Conditioner,68.17,68.17,100,4.6,54,08/2023,"{'ranking_conditioner': 132, 'ranking_hair_care': 610}",
136946,"Luseta Beauty, Rosemary Mint Complex, Strengthening Conditioner, For All Hair Types, 16.9 fl oz (500 ml)",Luseta Beauty,Conditioner,104.67,104.67,100,4.8,38,12/2023,"{'ranking_conditioner': 135, 'ranking_hair_care': 621}",
109595,"Giovanni, Smoothing Castor Oil Leave-In Conditioner, For All Hair Types, 11.5 fl oz (340 ml)",Giovanni,Conditioner,84.89,84.89,200,4.5,670,10/2021,"{'ranking_leave-in_conditioner': 28, 'ranking_conditioner': 136, 'ranking_hair_care': 633}",
75771,"Giovanni, 2chic, Ultra Sleek Conditioner, For All Hair Types, Brazilian Keratin + Moroccan Argan Oil, 24 fl oz (710 ml)",Giovanni,Conditioner,143.79,143.79,200,4.6,2299,07/2017,"{'ranking_conditioner': 137, 'ranking_hair_care': 644}",
