product_id,product_name,brand_name,category,volume_in_ml,list_price,discount_price,price_per_ml,discount%,sale_in_30days,sales_revenue,rating,no_of_reviews,first_available,stock_alert,ranking_shampoo,ranking_conditioner,ranking_hair_treatments,ranking_hair_styling
75767,"Giovanni, 2chic, Ultra-Moist Dual Action Protective Leave-In Spray, For Dry, Damaged Hair,  Avocado + Olive Oil, 4 fl oz (118 ml)",Giovanni,Treatments,118.0,71.78,71.78,0.61,0.0,500,35890.0,4.5,4140,2017-07-01,in stock,,,105,
75764,"Giovanni, 2chic, Ultra-Moist Deep Deep Moisture Hair Mask, Avocado + Olive Oil, 5 fl oz (147 ml)",Giovanni,Treatments,147.0,71.78,71.78,0.49,0.0,500,35890.0,4.5,4722,2017-07-01,in stock,,,110,
120663,"SheaMoisture, Manuka Honey & Yogurt, Hydrate + Repair Shampoo with Mafura & Baobab Oils, 13 fl oz (384 ml)",SheaMoisture,Treatments,384.0,93.03,93.03,0.24,0.0,0,0.0,4.6,398,2023-05-01,out of stock,92.0,,104,
108739,"Cantu, Shea Butter, Thermal Shield Heat Protectant, 5.1 fl oz (151 ml)",Cantu,Treatments,151.0,48.69,48.69,0.32,0.0,400,19476.0,4.5,1749,2021-08-01,in stock,,,121,
108732,"Cantu, Shea Butter Deep Treatment Masque, 12 oz (340 g)",Cantu,Treatments,356.59090909090907,66.88,66.88,0.19,0.0,400,26752.0,4.5,7016,2021-08-01,in stock,,,126,
97582,"SheaMoisture, Curl Moisture Co-Wash, Coconut & Hibiscus, 13 fl oz (384 ml)",SheaMoisture,Treatments,384.0,100.15,100.15,0.26,0.0,300,30045.0,4.4,3732,2020-01-01,in stock,,,134,
97594,"SheaMoisture, Head-To-Toe Nourishing Hydration, 100% Extra Virgin Coconut Oil, 14.5 fl oz (411 ml)",SheaMoisture,Treatments,411.0,131.67,131.67,0.32,0.0,100,13167.0,4.7,639,2020-01-01,in stock,,,138,
121377,"Mielle, Anti-Shedding Scalp & Hair Oil, Sea Moss, 2 fl oz (59 ml)",Mielle,Treatments,59.0,104.59,104.59,1.77,0.0,400,41836.0,4.5,678,2023-05-01,in stock,,,140,
119711,"Kitsch, Pre-Wash Scalp Oil, Rosemary & Biotin, 2 oz (60 ml)",Kitsch,Treatments,60.0,149.98,149.98,2.5,0.0,300,44994.0,4.7,210,2023-06-01,in stock,,,148,
109670,"Camille Rose, Ultimate Strength Serum, Cocoa Nibs & Honey, 8 oz (240 ml)",Camille Rose,Treatments,240.0,162.71,162.71,0.68,0.0,300,48813.0,4.6,764,2021-09-01,in stock,,,150,
75776,"Giovanni, 2chic, Repairing Intensive Hair Mask, Blackberry + Coconut Milk, 5.1 fl oz (150 ml)",Giovanni,Treatments,150.0,71.78,71.78,0.48,0.0,300,21534.0,4.6,2575,2017-07-01,in stock,,,152,
138626,"L'Oréal, Ever Pure, Pre-Shampoo, Bond Strengthening Concentrate, 5.1 fl oz (150 ml)",L'Oréal,Treatments,150.0,130.31,130.31,0.87,0.0,300,39093.0,4.7,67,2024-01-01,in stock,,,152,
129788,"Okay Pure Naturals, Blended Argan Oil, 2 fl oz (59 ml)",Okay Pure Naturals,Treatments,59.0,54.48,54.48,0.92,0.0,100,5448.0,4.6,52,2023-09-01,in stock,,,160,
115676,"Giovanni, Curl Habit, Curl Defining Deep Conditioning Hair Mask, For All Curl Types, 10 fl oz (295 ml)",Giovanni,Treatments,295.0,84.89,84.89,0.29,0.0,200,16978.0,4.6,434,2022-10-01,in stock,,,174,
134532,"Camille Rose, Daily Strengthening Mist, Rosemary Water , 8 fl oz (236 ml)",Camille Rose,Treatments,236.0,95.91,95.91,0.41,0.0,200,19182.0,4.6,96,2023-12-01,in stock,,,174,
108720,"Cantu, Shea Butter, Comeback Curl Next Day Curl Revitalizer, 12 fl oz (355 ml)",Cantu,Treatments,355.0,70.51,70.51,0.2,0.0,200,14102.0,4.4,779,2021-08-01,in stock,,,177,
138162,"Mielle, Strengthening Pomade-to-Oil, Rosemary Mint, 5 oz (142 g)",Mielle,Treatments,148.57954545454544,87.18,87.18,0.59,0.0,200,17436.0,4.5,127,2024-01-01,in stock,,,181,
142299,"Dove, Scalp + Hair Therapy, Fullness Restore Scalp Serum, 2 fl oz (59 ml)",Dove,Treatments,59.0,78.46,78.46,1.33,0.0,100,7846.0,4.5,44,2024-05-01,in stock,,,181,
138165,"Mielle, Strengthening Scalp & Edge Cleansing Oil, Rosemary Mint, 4 fl oz (118 ml)",Mielle,Treatments,118.0,87.17,87.17,0.74,0.0,300,26151.0,4.6,105,2024-01-01,in stock,,,188,
133518,"SheaMoisture, Apple Cider Vinegar Anti-Dandruff Pre-Wash w/ Salicylic Acid , 4 fl oz (118 ml)",SheaMoisture,Treatments,118.0,113.75,113.75,0.96,0.0,100,11375.0,4.4,100,2023-11-01,in stock,,,203,
114559,"Giovanni, 2Chic, Ulra Shine Anti-Frizz Smoothing Hair Serum, Tsubaki +White Tea, 2.75 fl oz (81 ml)",Giovanni,Treatments,81.0,78.3,78.3,0.97,0.0,0,0.0,4.6,598,2022-07-01,out of stock,,,191,
130176,"Okay Pure Naturals, Black Jamaican Castor Oil With Rosemary, 4 fl oz (118 ml)",Okay Pure Naturals,Treatments,118.0,87.17,62.76,0.53,28.0,100,6276.0,4.5,60,2023-10-01,in stock,,,216,
122058,"Giovanni, Biotin & Collagen Hair Oil, Rebonding & Restoring, 1.9 fl oz (56 ml)",Giovanni,Treatments,56.0,71.91,71.91,1.28,0.0,200,14382.0,4.7,323,2023-06-01,in stock,,,219,
122057,"Giovanni, Biotin & Collagen Restoring Hair Mask, 10 fl oz (295 ml)",Giovanni,Treatments,295.0,84.89,84.89,0.29,0.0,200,16978.0,4.6,187,2023-06-01,in stock,,,219,
142355,"SheaMoisture, Smooth & Shine Oil, Coconut & Hibiscus , 3.3 fl oz (97 ml)",SheaMoisture,Treatments,97.0,81.65,81.65,0.84,0.0,0,0.0,4.5,22,2024-05-01,out of stock,,,208,
111224,"Luseta Beauty, Keratin Smooth, Hair Mask, 16.9 fl oz (500 ml)",Luseta Beauty,Treatments,500.0,261.54,261.54,0.52,0.0,100,26154.0,4.6,214,2021-11-01,in stock,,,223,
14938,"Giovanni, Straight Fast, Straightening Elixir, 6.8 fl oz (201 ml)",Giovanni,Treatments,201.0,91.4,91.4,0.45,0.0,200,18280.0,4.3,1466,2009-01-01,in stock,,,225,
